T:169254,Ax:0.05,Ay:-0.12,Az:9.79,Gx:0.29,Gy:-0.18,Gz:0.35,P:-0.82,R:-0.37
T:169264,Ax:0.03,Ay:-0.15,Az:9.84,Gx:-0.09,Gy:-0.32,Gz:0.48,P:-0.82,R:-0.37
T:169274,Ax:0.04,Ay:-0.13,Az:9.89,Gx:-0.07,Gy:-0.16,Gz:0.32,P:-0.82,R:-0.37
T:169284,Ax:0.08,Ay:-0.14,Az:9.86,Gx:0.07,Gy:0.35,Gz:0.22,P:-0.82,R:-0.36
T:169294,Ax:0.08,Ay:-0.15,Az:9.83,Gx:0.25,Gy:0.47,Gz:-0.07,P:-0.82,R:-0.36
T:169304,Ax:0.08,Ay:-0.12,Az:9.81,Gx:0.30,Gy:0.01,Gz:-0.01,P:-0.81,R:-0.36
T:169314,Ax:0.07,Ay:-0.15,Az:9.88,Gx:0.13,Gy:-0.59,Gz:0.15,P:-0.81,R:-0.37
T:169324,Ax:0.07,Ay:-0.15,Az:9.83,Gx:-0.29,Gy:-1.41,Gz:0.50,P:-0.82,R:-0.39
T:169334,Ax:0.04,Ay:-0.12,Az:9.84,Gx:-0.70,Gy:-2.35,Gz:1.32,P:-0.82,R:-0.41
T:169344,Ax:0.07,Ay:-0.14,Az:9.86,Gx:-0.79,Gy:-2.58,Gz:1.83,P:-0.83,R:-0.43
T:169354,Ax:0.09,Ay:-0.14,Az:9.87,Gx:-0.58,Gy:-1.81,Gz:1.57,P:-0.84,R:-0.45
T:169364,Ax:0.09,Ay:-0.17,Az:9.88,Gx:-0.29,Gy:-0.87,Gz:0.87,P:-0.84,R:-0.46
T:169374,Ax:0.09,Ay:-0.14,Az:9.86,Gx:0.19,Gy:0.01,Gz:0.13,P:-0.84,R:-0.46
T:169384,Ax:0.12,Ay:-0.14,Az:9.84,Gx:0.29,Gy:0.39,Gz:0.01,P:-0.84,R:-0.46
T:169394,Ax:0.08,Ay:-0.14,Az:9.86,Gx:1.05,Gy:0.27,Gz:0.00,P:-0.83,R:-0.46
T:169404,Ax:0.11,Ay:-0.14,Az:9.84,Gx:1.11,Gy:0.07,Gz:0.27,P:-0.81,R:-0.47
T:169414,Ax:0.08,Ay:-0.13,Az:9.86,Gx:0.44,Gy:0.03,Gz:0.53,P:-0.81,R:-0.47
T:169424,Ax:0.07,Ay:-0.15,Az:9.88,Gx:-0.39,Gy:0.10,Gz:0.76,P:-0.82,R:-0.46
T:169434,Ax:0.08,Ay:-0.17,Az:9.87,Gx:-0.97,Gy:-0.35,Gz:1.19,P:-0.83,R:-0.47
T:169444,Ax:0.08,Ay:-0.15,Az:9.86,Gx:-1.06,Gy:-0.54,Gz:1.08,P:-0.84,R:-0.47
T:169454,Ax:0.06,Ay:-0.15,Az:9.82,Gx:-0.83,Gy:-0.97,Gz:1.28,P:-0.85,R:-0.48
T:169464,Ax:0.06,Ay:-0.14,Az:9.86,Gx:-0.82,Gy:-1.64,Gz:2.03,P:-0.86,R:-0.50
T:169474,Ax:0.06,Ay:-0.14,Az:9.83,Gx:-0.93,Gy:-2.33,Gz:2.41,P:-0.87,R:-0.52
T:169484,Ax:0.09,Ay:-0.14,Az:9.83,Gx:-0.88,Gy:-3.06,Gz:2.99,P:-0.88,R:-0.55
T:169494,Ax:0.10,Ay:-0.12,Az:9.84,Gx:-0.80,Gy:-3.00,Gz:2.91,P:-0.88,R:-0.58
T:169504,Ax:0.11,Ay:-0.15,Az:9.84,Gx:-0.19,Gy:-2.15,Gz:2.25,P:-0.88,R:-0.60
T:169514,Ax:0.11,Ay:-0.14,Az:9.82,Gx:0.36,Gy:-1.25,Gz:1.46,P:-0.88,R:-0.61
T:169524,Ax:0.15,Ay:-0.12,Az:9.85,Gx:0.36,Gy:-0.24,Gz:0.47,P:-0.87,R:-0.62
T:169534,Ax:0.12,Ay:-0.15,Az:9.86,Gx:0.33,Gy:0.51,Gz:-0.21,P:-0.87,R:-0.62
T:169544,Ax:0.12,Ay:-0.16,Az:9.85,Gx:-0.06,Gy:0.61,Gz:-0.41,P:-0.87,R:-0.62
T:169554,Ax:0.08,Ay:-0.14,Az:9.87,Gx:-0.25,Gy:0.42,Gz:-0.30,P:-0.87,R:-0.61
T:169564,Ax:0.09,Ay:-0.13,Az:9.85,Gx:-0.19,Gy:0.04,Gz:-0.10,P:-0.87,R:-0.61
T:169574,Ax:0.02,Ay:-0.16,Az:9.84,Gx:-0.25,Gy:0.06,Gz:0.01,P:-0.88,R:-0.60
T:169584,Ax:0.09,Ay:-0.13,Az:9.85,Gx:-0.19,Gy:-0.04,Gz:0.15,P:-0.88,R:-0.60
T:169594,Ax:0.11,Ay:-0.11,Az:9.89,Gx:0.01,Gy:0.07,Gz:0.12,P:-0.87,R:-0.60
T:169604,Ax:0.09,Ay:-0.12,Az:9.88,Gx:-0.13,Gy:0.68,Gz:-0.18,P:-0.87,R:-0.59
T:169614,Ax:0.12,Ay:-0.17,Az:9.86,Gx:0.00,Gy:0.74,Gz:-0.25,P:-0.87,R:-0.59
T:169624,Ax:0.12,Ay:-0.14,Az:9.87,Gx:0.13,Gy:0.80,Gz:-0.51,P:-0.87,R:-0.58
T:169634,Ax:0.14,Ay:-0.15,Az:9.87,Gx:0.39,Gy:0.80,Gz:-0.51,P:-0.87,R:-0.58
T:169644,Ax:0.10,Ay:-0.15,Az:9.87,Gx:0.32,Gy:0.19,Gz:-0.44,P:-0.87,R:-0.58
T:169654,Ax:0.09,Ay:-0.12,Az:9.87,Gx:0.79,Gy:0.03,Gz:-0.27,P:-0.86,R:-0.58
T:169664,Ax:0.07,Ay:-0.13,Az:9.86,Gx:0.94,Gy:-0.06,Gz:-0.10,P:-0.84,R:-0.57
T:169674,Ax:0.10,Ay:-0.12,Az:9.88,Gx:1.14,Gy:0.19,Gz:-0.29,P:-0.83,R:-0.57
T:169684,Ax:0.06,Ay:-0.12,Az:9.88,Gx:1.12,Gy:0.82,Gz:-0.64,P:-0.82,R:-0.56
T:169694,Ax:0.04,Ay:-0.14,Az:9.87,Gx:1.29,Gy:0.96,Gz:-0.67,P:-0.80,R:-0.55
T:169704,Ax:0.10,Ay:-0.14,Az:9.86,Gx:1.25,Gy:0.96,Gz:-0.41,P:-0.79,R:-0.54
T:169714,Ax:0.11,Ay:-0.15,Az:9.87,Gx:0.53,Gy:1.06,Gz:-0.22,P:-0.79,R:-0.53
T:169724,Ax:0.11,Ay:-0.14,Az:9.86,Gx:-0.41,Gy:0.45,Gz:-0.10,P:-0.79,R:-0.53
T:169734,Ax:0.08,Ay:-0.13,Az:9.88,Gx:-0.79,Gy:-0.24,Gz:0.19,P:-0.80,R:-0.53
T:169744,Ax:0.08,Ay:-0.14,Az:9.85,Gx:-0.71,Gy:-0.36,Gz:0.41,P:-0.81,R:-0.53
T:169754,Ax:0.08,Ay:-0.16,Az:9.83,Gx:-1.00,Gy:-0.82,Gz:0.65,P:-0.82,R:-0.54
T:169764,Ax:0.09,Ay:-0.15,Az:9.89,Gx:-1.12,Gy:-1.09,Gz:0.80,P:-0.84,R:-0.55
T:169774,Ax:0.07,Ay:-0.14,Az:9.87,Gx:-0.99,Gy:-1.48,Gz:1.08,P:-0.84,R:-0.56
T:169784,Ax:0.09,Ay:-0.12,Az:9.89,Gx:-0.76,Gy:-1.46,Gz:1.03,P:-0.85,R:-0.57
T:169794,Ax:0.09,Ay:-0.13,Az:9.88,Gx:-0.47,Gy:-1.03,Gz:0.83,P:-0.85,R:-0.58
T:169804,Ax:0.09,Ay:-0.13,Az:9.86,Gx:-0.16,Gy:-0.67,Gz:0.62,P:-0.85,R:-0.59
T:169814,Ax:0.12,Ay:-0.14,Az:9.84,Gx:-0.10,Gy:-0.36,Gz:0.59,P:-0.85,R:-0.60
T:169824,Ax:0.10,Ay:-0.15,Az:9.88,Gx:-0.65,Gy:-0.61,Gz:0.70,P:-0.86,R:-0.60
T:169834,Ax:0.09,Ay:-0.14,Az:9.83,Gx:-0.39,Gy:-0.29,Gz:0.30,P:-0.86,R:-0.60
T:169844,Ax:0.13,Ay:-0.15,Az:9.87,Gx:-0.12,Gy:0.07,Gz:0.01,P:-0.87,R:-0.61
T:169854,Ax:0.13,Ay:-0.17,Az:9.85,Gx:0.09,Gy:0.61,Gz:-0.29,P:-0.87,R:-0.60
T:169864,Ax:0.10,Ay:-0.17,Az:9.90,Gx:0.32,Gy:0.79,Gz:-0.44,P:-0.87,R:-0.60
T:169874,Ax:0.07,Ay:-0.15,Az:9.84,Gx:0.29,Gy:0.96,Gz:-0.45,P:-0.87,R:-0.58
T:169884,Ax:0.11,Ay:-0.14,Az:9.88,Gx:0.59,Gy:1.12,Gz:-0.65,P:-0.86,R:-0.57
T:169894,Ax:0.07,Ay:-0.13,Az:9.85,Gx:0.48,Gy:1.05,Gz:-0.59,P:-0.85,R:-0.56
T:169904,Ax:0.06,Ay:-0.16,Az:9.84,Gx:0.58,Gy:0.70,Gz:-0.38,P:-0.85,R:-0.55
T:169914,Ax:0.10,Ay:-0.16,Az:9.83,Gx:0.48,Gy:0.54,Gz:-0.21,P:-0.85,R:-0.55
T:169924,Ax:0.09,Ay:-0.16,Az:9.83,Gx:0.27,Gy:0.36,Gz:0.10,P:-0.85,R:-0.54
T:169934,Ax:0.11,Ay:-0.13,Az:9.87,Gx:0.16,Gy:0.13,Gz:0.19,P:-0.84,R:-0.54
T:169944,Ax:0.11,Ay:-0.14,Az:9.83,Gx:0.30,Gy:-0.30,Gz:0.30,P:-0.84,R:-0.55
T:169954,Ax:0.11,Ay:-0.13,Az:9.83,Gx:0.19,Gy:-0.38,Gz:0.36,P:-0.84,R:-0.55
T:169964,Ax:0.09,Ay:-0.15,Az:9.83,Gx:0.41,Gy:-0.06,Gz:0.16,P:-0.83,R:-0.55
T:169974,Ax:0.10,Ay:-0.13,Az:9.85,Gx:0.47,Gy:0.33,Gz:-0.13,P:-0.83,R:-0.55
T:169984,Ax:0.11,Ay:-0.14,Az:9.87,Gx:0.87,Gy:0.61,Gz:-0.33,P:-0.82,R:-0.55
T:169994,Ax:0.09,Ay:-0.16,Az:9.86,Gx:0.91,Gy:1.08,Gz:-0.82,P:-0.81,R:-0.54
T:170004,Ax:0.07,Ay:-0.14,Az:9.83,Gx:0.76,Gy:1.16,Gz:-0.79,P:-0.81,R:-0.52
T:170014,Ax:0.07,Ay:-0.13,Az:9.85,Gx:0.42,Gy:0.74,Gz:-0.41,P:-0.80,R:-0.52
T:170024,Ax:0.07,Ay:-0.16,Az:9.86,Gx:-0.16,Gy:0.03,Gz:0.16,P:-0.81,R:-0.51
T:170034,Ax:0.07,Ay:-0.11,Az:9.86,Gx:-0.77,Gy:-0.93,Gz:0.56,P:-0.81,R:-0.52
T:170044,Ax:0.09,Ay:-0.14,Az:9.87,Gx:-1.06,Gy:-1.32,Gz:0.94,P:-0.82,R:-0.53
T:170054,Ax:0.10,Ay:-0.16,Az:9.90,Gx:-1.00,Gy:-1.22,Gz:0.91,P:-0.83,R:-0.55
T:170064,Ax:0.08,Ay:-0.16,Az:9.88,Gx:-0.59,Gy:-0.97,Gz:0.91,P:-0.84,R:-0.56
T:170074,Ax:0.07,Ay:-0.14,Az:9.85,Gx:-0.03,Gy:-0.53,Gz:0.51,P:-0.84,R:-0.56
T:170084,Ax:0.11,Ay:-0.13,Az:9.88,Gx:0.33,Gy:0.25,Gz:-0.04,P:-0.84,R:-0.56
T:170094,Ax:0.09,Ay:-0.15,Az:9.87,Gx:0.79,Gy:0.96,Gz:-0.44,P:-0.83,R:-0.55
T:170104,Ax:0.08,Ay:-0.14,Az:9.84,Gx:1.00,Gy:1.22,Gz:-0.70,P:-0.82,R:-0.54
T:170114,Ax:0.08,Ay:-0.17,Az:9.80,Gx:0.88,Gy:1.26,Gz:-0.77,P:-0.82,R:-0.52
T:170124,Ax:0.10,Ay:-0.13,Az:9.86,Gx:0.96,Gy:0.82,Gz:-0.77,P:-0.81,R:-0.52
T:170134,Ax:0.06,Ay:-0.14,Az:9.84,Gx:0.77,Gy:0.35,Gz:-0.29,P:-0.80,R:-0.51
T:170144,Ax:0.04,Ay:-0.14,Az:9.90,Gx:0.48,Gy:0.38,Gz:-0.12,P:-0.80,R:-0.50
T:170154,Ax:0.08,Ay:-0.11,Az:9.84,Gx:0.71,Gy:0.45,Gz:-0.30,P:-0.79,R:-0.50
T:170164,Ax:0.09,Ay:-0.11,Az:9.87,Gx:0.90,Gy:0.87,Gz:-0.56,P:-0.78,R:-0.49
