T:573244,AX:4.60,AY:-4.72,AZ:9.35,GX:40.77,GY:-15.12,GZ:56.21
T:573254,AX:4.12,AY:-4.04,AZ:7.83,GX:44.61,GY:-18.97,GZ:62.03
T:573264,AX:4.23,AY:-4.18,AZ:6.39,GX:43.00,GY:2.18,GZ:68.10
T:573274,AX:4.80,AY:-3.14,AZ:11.31,GX:45.22,GY:1.61,GZ:69.83
T:573284,AX:4.56,AY:-4.81,AZ:9.48,GX:32.00,GY:-37.80,GZ:77.95
T:573294,AX:4.01,AY:-3.42,AZ:7.63,GX:37.06,GY:-20.97,GZ:80.41
T:573304,AX:1.98,AY:-4.78,AZ:10.34,GX:24.10,GY:-2.79,GZ:80.51
T:573314,AX:2.63,AY:-5.07,AZ:8.74,GX:22.07,GY:-7.78,GZ:55.77
T:573324,AX:4.27,AY:-3.03,AZ:8.03,GX:31.87,GY:1.60,GZ:65.40
T:573334,AX:3.41,AY:-4.94,AZ:9.71,GX:39.46,GY:-0.51,GZ:71.35
T:573344,AX:2.40,AY:-4.52,AZ:8.30,GX:30.01,GY:-10.45,GZ:60.87
T:573354,AX:2.65,AY:-3.72,AZ:6.46,GX:49.80,GY:3.25,GZ:61.55
T:573364,AX:4.29,AY:-3.24,AZ:10.23,GX:71.60,GY:6.07,GZ:63.32
T:573374,AX:4.02,AY:-2.54,AZ:8.00,GX:48.03,GY:-2.06,GZ:81.43
T:573384,AX:2.97,AY:-3.79,AZ:7.26,GX:43.09,GY:6.59,GZ:86.83
T:573394,AX:2.26,AY:-4.88,AZ:7.48,GX:44.01,GY:16.73,GZ:80.61
T:573404,AX:3.14,AY:-5.14,AZ:8.68,GX:45.92,GY:15.20,GZ:61.00
T:573414,AX:4.40,AY:-4.46,AZ:8.54,GX:45.06,GY:-4.62,GZ:55.48
T:573424,AX:4.83,AY:-2.29,AZ:5.94,GX:45.32,GY:-3.80,GZ:61.29
T:573434,AX:4.26,AY:-3.75,AZ:7.68,GX:75.84,GY:9.75,GZ:73.93
T:573444,AX:4.74,AY:-3.76,AZ:9.27,GX:76.21,GY:-17.38,GZ:65.32
T:573454,AX:4.37,AY:-3.55,AZ:5.30,GX:89.86,GY:1.43,GZ:90.96
T:573464,AX:3.78,AY:-4.28,AZ:11.79,GX:67.74,GY:10.74,GZ:80.50
T:573474,AX:3.64,AY:-3.66,AZ:7.54,GX:18.44,GY:-20.24,GZ:76.80
T:573484,AX:3.95,AY:-2.81,AZ:7.41,GX:28.54,GY:7.81,GZ:79.60
T:573494,AX:4.60,AY:-3.38,AZ:9.88,GX:29.61,GY:-6.56,GZ:97.11
T:573504,AX:4.19,AY:-3.69,AZ:7.14,GX:29.74,GY:-2.93,GZ:106.39
T:573514,AX:3.92,AY:-3.37,AZ:8.76,GX:31.60,GY:4.32,GZ:114.97
T:573524,AX:3.85,AY:-3.74,AZ:8.20,GX:29.02,GY:-2.25,GZ:123.67
T:573534,AX:4.35,AY:-3.01,AZ:9.89,GX:33.14,GY:4.41,GZ:131.49
T:573544,AX:4.50,AY:-3.33,AZ:13.33,GX:44.82,GY:-28.83,GZ:146.74
T:573554,AX:3.33,AY:-4.33,AZ:8.71,GX:34.79,GY:-43.95,GZ:154.07
T:573564,AX:3.97,AY:-1.24,AZ:9.74,GX:48.77,GY:-32.71,GZ:161.41
T:573574,AX:3.11,AY:-1.84,AZ:10.60,GX:72.82,GY:-39.87,GZ:200.73
T:573584,AX:1.50,AY:-3.41,AZ:8.20,GX:103.87,GY:-51.22,GZ:213.14
T:573594,AX:0.82,AY:-3.97,AZ:5.71,GX:141.84,GY:-17.11,GZ:207.96
T:573604,AX:-1.41,AY:-3.53,AZ:6.39,GX:155.17,GY:1.31,GZ:195.25
T:573614,AX:-0.31,AY:-4.76,AZ:6.30,GX:173.12,GY:40.91,GZ:161.09
T:573624,AX:0.84,AY:-2.23,AZ:8.83,GX:159.12,GY:78.35,GZ:150.16
T:573634,AX:0.29,AY:-4.74,AZ:10.50,GX:119.19,GY:69.25,GZ:141.09
T:573644,AX:0.77,AY:-4.41,AZ:9.38,GX:98.16,GY:72.33,GZ:107.84
T:573654,AX:1.98,AY:-2.92,AZ:12.89,GX:86.59,GY:59.48,GZ:92.16
T:573664,AX:2.20,AY:-2.03,AZ:11.40,GX:80.48,GY:24.80,GZ:94.79
T:573674,AX:1.76,AY:-2.11,AZ:9.82,GX:87.95,GY:25.20,GZ:101.98
T:573684,AX:1.44,AY:-2.35,AZ:9.99,GX:92.39,GY:23.02,GZ:108.87
T:573694,AX:0.96,AY:-3.69,AZ:9.40,GX:77.61,GY:17.98,GZ:99.41
T:573704,AX:1.23,AY:-2.16,AZ:10.50,GX:76.94,GY:23.93,GZ:75.70
T:573714,AX:2.20,AY:-1.46,AZ:10.50,GX:71.86,GY:4.79,GZ:75.58
T:573724,AX:2.92,AY:-0.27,AZ:9.27,GX:75.78,GY:7.75,GZ:83.83
T:573734,AX:2.75,AY:0.11,AZ:11.15,GX:80.19,GY:-6.19,GZ:103.66
T:573744,AX:1.12,AY:-0.58,AZ:9.98,GX:94.19,GY:-20.50,GZ:118.09
T:573754,AX:0.25,AY:-2.27,AZ:8.87,GX:106.87,GY:-11.89,GZ:115.22
T:573764,AX:0.13,AY:-2.07,AZ:8.65,GX:107.26,GY:3.61,GZ:96.44
T:573774,AX:0.25,AY:-1.44,AZ:7.92,GX:104.94,GY:15.89,GZ:86.44
T:573784,AX:0.51,AY:-2.31,AZ:8.42,GX:80.62,GY:25.46,GZ:63.57
T:573794,AX:1.17,AY:0.71,AZ:9.45,GX:71.63,GY:23.77,GZ:43.66
T:573804,AX:1.42,AY:0.73,AZ:10.16,GX:55.72,GY:16.32,GZ:52.48
T:573814,AX:1.43,AY:0.68,AZ:10.10,GX:39.92,GY:4.96,GZ:53.60
T:573824,AX:1.36,AY:0.45,AZ:8.42,GX:24.79,GY:1.96,GZ:60.85
T:573834,AX:1.07,AY:-0.43,AZ:7.11,GX:-1.09,GY:10.50,GZ:61.75
T:573844,AX:0.84,AY:-0.89,AZ:6.96,GX:-10.44,GY:18.16,GZ:44.90
T:573854,AX:0.73,AY:0.51,AZ:6.06,GX:-0.16,GY:34.29,GZ:38.85
T:573864,AX:0.61,AY:-0.03,AZ:8.03,GX:15.16,GY:57.14,GZ:43.34
T:573874,AX:0.89,AY:-0.37,AZ:10.50,GX:16.42,GY:53.81,GZ:39.38
T:573884,AX:0.90,AY:1.10,AZ:11.27,GX:24.06,GY:50.96,GZ:39.29
T:573894,AX:0.33,AY:0.54,AZ:11.15,GX:29.35,GY:51.41,GZ:60.62
T:573904,AX:-0.10,AY:-1.30,AZ:12.07,GX:24.06,GY:51.34,GZ:56.87
T:573914,AX:-0.23,AY:-1.68,AZ:11.95,GX:-8.39,GY:46.53,GZ:42.77
T:573924,AX:0.22,AY:-1.47,AZ:12.60,GX:-53.52,GY:45.37,GZ:33.84
T:573934,AX:0.62,AY:-0.96,AZ:13.36,GX:-89.46,GY:31.75,GZ:34.71
T:573944,AX:0.98,AY:-0.94,AZ:12.38,GX:-117.57,GY:5.55,GZ:27.41
T:573954,AX:1.11,AY:-0.10,AZ:10.41,GX:-140.00,GY:-12.99,GZ:33.41
T:573964,AX:0.85,AY:1.71,AZ:10.10,GX:-99.08,GY:-15.49,GZ:46.54
T:573974,AX:-0.19,AY:-2.18,AZ:9.07,GX:-88.62,GY:-11.17,GZ:64.01
T:573984,AX:-0.22,AY:-2.40,AZ:10.70,GX:-93.70,GY:-2.21,GZ:45.54
T:573994,AX:-0.53,AY:-2.15,AZ:8.88,GX:-94.82,GY:0.91,GZ:37.22
T:574004,AX:-0.66,AY:-1.82,AZ:10.13,GX:-79.98,GY:22.36,GZ:29.58
T:574014,AX:-0.09,AY:-1.56,AZ:11.17,GX:-72.21,GY:25.19,GZ:27.25
T:574024,AX:0.38,AY:-2.08,AZ:10.92,GX:-73.32,GY:15.98,GZ:26.85
T:574034,AX:0.06,AY:-2.24,AZ:9.73,GX:-87.28,GY:13.25,GZ:23.48
T:574044,AX:0.13,AY:-1.72,AZ:9.52,GX:-82.29,GY:17.60,GZ:20.99
T:574054,AX:-0.20,AY:-2.09,AZ:9.75,GX:-67.31,GY:17.69,GZ:12.41
T:574064,AX:-0.36,AY:-2.52,AZ:9.58,GX:-59.32,GY:18.77,GZ:12.16
T:574074,AX:-0.77,AY:-3.05,AZ:10.18,GX:-54.09,GY:26.51,GZ:3.54
T:574084,AX:-0.55,AY:-2.65,AZ:11.53,GX:-60.01,GY:26.79,GZ:-0.44
T:574094,AX:-0.63,AY:-2.74,AZ:10.78,GX:-66.19,GY:20.82,GZ:-3.35
T:574104,AX:-0.32,AY:-3.08,AZ:9.82,GX:-76.51,GY:26.62,GZ:-4.01
T:574114,AX:0.20,AY:-2.84,AZ:10.07,GX:-79.69,GY:23.77,GZ:-10.68
T:574124,AX:1.66,AY:-1.99,AZ:9.61,GX:-76.36,GY:9.58,GZ:2.01
T:574134,AX:1.63,AY:-3.62,AZ:8.63,GX:-80.04,GY:-4.19,GZ:26.09
T:574144,AX:0.82,AY:-5.15,AZ:6.59,GX:-92.27,GY:-10.96,GZ:35.09
T:574154,AX:-0.15,AY:-5.94,AZ:3.99,GX:-87.84,GY:2.41,GZ:26.51
T:574164,AX:-0.03,AY:-6.28,AZ:3.07,GX:-42.21,GY:34.29,GZ:15.35
T:574174,AX:1.23,AY:-6.37,AZ:3.83,GX:115.41,GY:61.12,GZ:17.60
T:574184,AX:0.65,AY:-4.00,AZ:11.95,GX:97.38,GY:70.94,GZ:30.79
T:574194,AX:0.08,AY:-4.27,AZ:15.70,GX:45.87,GY:22.97,GZ:26.82
T:574204,AX:-2.63,AY:-6.09,AZ:10.69,GX:15.98,GY:-6.27,GZ:29.95
T:574214,AX:-2.84,AY:-7.74,AZ:7.32,GX:25.29,GY:31.80,GZ:-8.91
T:574224,AX:-3.51,AY:-6.02,AZ:9.37,GX:51.95,GY:66.50,GZ:-39.43
T:574234,AX:0.57,AY:-10.01,AZ:10.08,GX:104.97,GY:100.41,GZ:-59.16
T:574244,AX:2.79,AY:-1.43,AZ:14.90,GX:142.68,GY:49.37,GZ:-54.67
T:574254,AX:3.11,AY:5.49,AZ:20.70,GX:-45.06,GY:-36.87,GZ:-81.40
T:574264,AX:-1.69,AY:2.45,AZ:12.57,GX:-97.89,GY:-140.74,GZ:8.24
T:574274,AX:-2.71,AY:-4.07,AZ:1.93,GX:-46.67,GY:-77.72,GZ:14.27
